Instanz; Swap Art; k; Kosten vorher; kosten nachher; Verstrichene Zeit
instances/circ20.txt;SwapTms;1;3.474;3.470;0,119;
instances/circ4.txt;SwapTms;5;26;24;0,001;
instances/circ6.txt;SwapTms;5;90;78;0,005;
instances/circ8.txt;SwapTms;5;218;202;0,006;
instances/circ10.txt;SwapTms;5;404;396;0,022;
instances/circ12.txt;SwapTms;5;732;710;0,018;
instances/circ14.txt;SwapTms;5;1.216;1.196;0,05;
instances/circ16.txt;SwapTms;5;1.762;1.732;0,051;
instances/circ18.txt;SwapTms;5;2.494;2.470;0,137;
instances/circ20.txt;SwapTms;5;3.474;3.414;0,141;
instances/circ4.txt;SwapTms;10;26;24;0,001;
instances/circ6.txt;SwapTms;10;90;78;0,004;
instances/circ8.txt;SwapTms;10;218;202;0,01;
instances/circ10.txt;SwapTms;10;404;396;0,026;
instances/circ12.txt;SwapTms;10;732;710;0,026;
instances/circ14.txt;SwapTms;10;1.216;1.196;0,111;
instances/circ16.txt;SwapTms;10;1.762;1.732;0,11;
instances/circ18.txt;SwapTms;10;2.494;2.470;0,221;
instances/circ20.txt;SwapTms;10;3.474;3.414;0,192;
instances/circ4.txt;SwapTms;50;26;24;0,002;
instances/circ6.txt;SwapTms;50;90;78;0,005;
instances/circ8.txt;SwapTms;50;218;202;0,011;
instances/circ10.txt;SwapTms;50;404;396;0,025;
instances/circ12.txt;SwapTms;50;732;710;0,049;
instances/circ14.txt;SwapTms;50;1.216;1.196;0,116;
instances/circ16.txt;SwapTms;50;1.762;1.732;0,133;
instances/circ18.txt;SwapTms;50;2.494;2.466;0,238;
instances/circ20.txt;SwapTms;50;3.474;3.414;0,413;
instances/circ4.txt;SwapTms;100;26;24;0,001;
instances/circ6.txt;SwapTms;100;90;78;0,005;
instances/circ8.txt;SwapTms;100;218;202;0,01;
instances/circ10.txt;SwapTms;100;404;396;0,025;
instances/circ12.txt;SwapTms;100;732;710;0,05;
